step,torch_loss,jittor_loss,absolute_loss_difference
1,0.6493600010871887,0.6494391560554504,7.915496826171875e-05
2,0.5875069499015808,0.5871603488922119,0.0003466010093688965
3,0.832084596157074,0.831644594669342,0.0004400014877319336
4,0.4463319778442383,0.4461417496204376,0.00019022822380065918
5,0.5468605756759644,0.5464965105056763,0.00036406517028808594
6,0.45348304510116577,0.45325979590415955,0.00022324919700622559
7,0.3727479875087738,0.3725391626358032,0.00020882487297058105
8,0.3230496048927307,0.32292553782463074,0.00012406706809997559
9,0.8229637145996094,0.8224595785140991,0.0005041360855102539
10,0.2765418291091919,0.27641114592552185,0.00013068318367004395
